112.36.80.41 - - [02/Feb/2019:21:07:08 +0800] "GET /plugins/kibana/assets/dashboard.svg HTTP/1.1" 200 301 "http://kibana.thinkleak.com/app/kibana" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.90 Safari/537.36 2345Explorer/9.5.0.17997"
112.36.80.41 - - [02/Feb/2019:21:07:08 +0800] "GET /plugins/kibana/assets/wrench.svg HTTP/1.1" 200 295 "http://kibana.thinkleak.com/app/kibana" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.90 Safari/537.36 2345Explorer/9.5.0.17997"
112.36.80.41 - - [02/Feb/2019:21:07:08 +0800] "GET /api/saved_objects/?type=index-pattern&fields=title&per_page=10000 HTTP/1.1" 200 85 "http://kibana.thinkleak.com/app/kibana" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.90 Safari/537.36 2345Explorer/9.5.0.17997"
112.36.80.41 - - [02/Feb/2019:21:07:08 +0800] "GET /ui/fonts/open_sans/open_sans_v13_latin_700.woff2 HTTP/1.1" 200 16276 "http://kibana.thinkleak.com/app/kibana" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.90 Safari/537.36 2345Explorer/9.5.0.17997"
112.36.80.41 - - [02/Feb/2019:21:07:08 +0800] "GET /api/index_patterns/_fields_for_wildcard?pattern=logstash-*&meta_fields=%5B%22_source%22%2C%22_id%22%2C%22_type%22%2C%22_index%22%2C%22_score%22%5D HTTP/1.1" 404 135 "http://kibana.thinkleak.com/app/kibana" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.90 Safari/537.36 2345Explorer/9.5.0.17997"
112.36.80.41 - - [02/Feb/2019:21:07:08 +0800] "GET /api/index_patterns/_fields_for_wildcard?pattern=logstash-*&meta_fields=%5B%22_source%22%2C%22_id%22%2C%22_type%22%2C%22_index%22%2C%22_score%22%5D HTTP/1.1" 404 135 "http://kibana.thinkleak.com/app/kibana" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.90 Safari/537.36 2345Explorer/9.5.0.17997"
112.36.80.41 - - [02/Feb/2019:21:07:08 +0800] "GET /bundles/4b5a84aaf1c9485e060c503a0ff8cadb.woff2 HTTP/1.1" 200 64464 "http://kibana.thinkleak.com/bundles/commons.style.css?v=15653" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.90 Safari/537.36 2345Explorer/9.5.0.17997"
112.36.80.41 - - [02/Feb/2019:21:07:14 +0800] "GET /bundles/30ca415c7c71ecfee19f7ff2e43ebe27.js HTTP/1.1" 200 9887 "http://kibana.thinkleak.com/app/kibana" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.90 Safari/537.36 2345Explorer/9.5.0.17997"
112.36.80.41 - - [02/Feb/2019:21:07:14 +0800] "GET /bundles/30ca415c7c71ecfee19f7ff2e43ebe27.js HTTP/1.1" 304 0 "http://kibana.thinkleak.com/app/kibana" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.90 Safari/537.36 2345Explorer/9.5.0.17997"
112.36.80.41 - - [02/Feb/2019:21:07:14 +0800] "POST /api/console/proxy?path=_mapping&method=GET HTTP/1.1" 200 641 "http://kibana.thinkleak.com/app/kibana" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.90 Safari/537.36 2345Explorer/9.5.0.17997"
112.36.80.41 - - [02/Feb/2019:21:07:14 +0800] "POST /api/console/proxy?path=_aliases&method=GET HTTP/1.1" 200 80 "http://kibana.thinkleak.com/app/kibana" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.90 Safari/537.36 2345Explorer/9.5.0.17997"
112.36.80.41 - - [02/Feb/2019:21:07:21 +0800] "POST /api/console/proxy?path=_search&method=POST HTTP/1.1" 200 1063 "http://kibana.thinkleak.com/app/kibana" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.90 Safari/537.36 2345Explorer/9.5.0.17997"
112.36.80.41 - - [02/Feb/2019:21:07:34 +0800] "GET /bundles/6199ab7146b1eb859db9ffd2b9b786d3.svg HTTP/1.1" 200 746 "http://kibana.thinkleak.com/bundles/kibana.style.css?v=15653" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.90 Safari/537.36 2345Explorer/9.5.0.17997"
